---,GameplayTag,CommonPrice,RarePrice,EpicPrice,LegendaryPrice
PlayerStat.AttackPower,"(TagName=""WeaponStat.AttackPower"")",5,5,5,5
PlayerStat.AttackSpeed,"(TagName=""WeaponStat.AttackSpeed"")",5,5,5,5
PlayerStat.CriticalChance,"(TagName=""WeaponStat.CriticalChance"")",5,5,5,5
PlayerStat.CriticalDamage,"(TagName=""WeaponStat.CriticalDamage"")",5,5,5,5
PlayerStat.DamageResistance,"(TagName=""PlayerStat.DamageResistance"")",5,5,5,5
PlayerStat.MaxHealth,"(TagName=""PlayerStat.MaxHealth"")",5,5,5,5
PlayerStat.MoveSpeed,"(TagName=""PlayerStat.MoveSpeed"")",5,5,5,5
PlayerStat.Range,"(TagName=""WeaponStat.Range"")",5,5,5,5
PlayerStat.SkillCoolTime,"(TagName=""PlayerStat.SkillCoolTime"")",5,5,5,5
Item.Consumption.Adrenaline,"(TagName=""Item.Consumption.Adrenaline"")",5,5,5,5
Item.Consumption.AntiSpray,"(TagName=""Item.Consumption.AntiSpray"")",5,5,5,5
Item.Consumption.FirstAidKit,"(TagName=""Item.Consumption.FirstAidKit"")",5,5,5,5
Item.Consumption.Power,"(TagName=""Item.Consumption.Power"")",5,5,5,5
Item.Consumption.Speed,"(TagName=""Item.Consumption.Speed"")",5,5,5,5
Item.Combat.Adhesive,"(TagName=""Item.Combat.Adhesive"")",5,5,5,5
Item.Combat.Grenade,"(TagName=""Item.Combat.Grenade"")",5,5,5,5
Item.Combat.Mine,"(TagName=""Item.Combat.Mine"")",5,5,5,5
Item.Consumption.EnergyDrink,"(TagName=""Item.Consumption.EnergyDrink"")",5,5,5,5
