---,WeaponID,Level,BaseDamage,DamageMultiplier,CriticalChance,CriticalDamageMultiplier,Cooldown,Delay,NumberOfProjectiles,FireAngle,RangeRadius,Ammo,ReloadCoolDown,MaxLevel,WeaponTag
Pesticide_Lv1,"Pesticide","1","10.000000","1.000000","0.050000","1.500000","1.000000","0.250000","0","30.000000","300.000000","200","2.500000","3","(TagName=""Weapon.Conical.Pesticide"")"
Pesticide_Lv2,"Pesticide","2","10.000000","1.000000","0.050000","1.500000","1.000000","0.250000","0","40.000000","300.000000","200","2.500000","3","(TagName=""Weapon.Conical.Pesticide"")"
Pesticide_Lv3,"Pesticide","3","10.000000","1.000000","0.050000","1.500000","1.000000","0.250000","0","50.000000","300.000000","200","2.500000","3","(TagName=""Weapon.Conical.Pesticide"")"
LarvaLauncher_Lv1,"LaravaLauncher","1","25.000000","1.000000","0.050000","1.500000","0.400000","0.100000","1","0.000000","0.000000","12","1.000000","3","(TagName=""Weapon.Projectile.LarvaLauncher"")"
LarvaLauncher_Lv2,"LaravaLauncher","2","25.000000","1.000000","0.050000","1.500000","0.400000","0.100000","2","0.000000","0.000000","12","1.000000","3","(TagName=""Weapon.Projectile.LarvaLauncher"")"
LarvaLauncher_Lv3,"LaravaLauncher","3","25.000000","1.000000","0.050000","1.500000","0.400000","0.100000","3","0.000000","0.000000","12","1.000000","3","(TagName=""Weapon.Projectile.LarvaLauncher"")"
WebRevolver_Lv1,"WebRevolver","1","25.000000","1.000000","0.050000","1.500000","0.200000","0.100000","1","0.000000","0.000000","6","1.000000","3","(TagName=""Weapon.Projectile.WebRevolver"")"
WebRevolver_Lv2,"WebRevolver","2","25.000000","1.000000","0.050000","1.500000","0.200000","0.100000","1","0.000000","0.000000","6","1.000000","3","(TagName=""Weapon.Projectile.WebRevolver"")"
WebRevolver_Lv3,"WebRevolver","3","25.000000","1.000000","0.050000","1.500000","0.200000","0.100000","1","0.000000","0.000000","6","1.000000","3","(TagName=""Weapon.Projectile.WebRevolver"")"
PestShotgun_Lv1,"PestShotgun","1","15.000000","1.000000","0.050000","1.500000","0.700000","0.000000","3","30.000000","0.000000","5","2.000000","3","(TagName=""Weapon.Projectile.PestShotgun"")"
PestShotgun_Lv2,"PestShotgun","2","15.000000","1.000000","0.050000","1.500000","0.700000","0.000000","4","30.000000","0.000000","5","2.000000","3","(TagName=""Weapon.Projectile.PestShotgun"")"
PestShotgun_Lv3,"PestShotgun","3","15.000000","1.000000","0.050000","1.500000","0.700000","0.000000","5","30.000000","0.000000","5","2.000000","3","(TagName=""Weapon.Projectile.PestShotgun"")"
RoachShooter_Lv1,"RoachShooter","1","15.000000","1.000000","0.050000","1.500000","0.150000","0.150000","1","0.000000","0.000000","100","2.500000","3","(TagName=""Weapon.Projectile.RoachShooter"")"
RoachShooter_Lv2,"RoachShooter","2","15.000000","1.000000","0.050000","1.500000","0.150000","0.150000","1","0.000000","0.000000","100","2.500000","3","(TagName=""Weapon.Projectile.RoachShooter"")"
RoachShooter_Lv3,"RoachShooter","3","15.000000","1.000000","0.050000","1.500000","0.150000","0.150000","1","0.000000","0.000000","100","2.500000","3","(TagName=""Weapon.Projectile.RoachShooter"")"
AirGun_Lv1,"AirGun","1","25.000000","1.000000","0.050000","1.500000","0.600000","0.100000","1","0.000000","0.000000","6","1.000000","3","(TagName=""Weapon.Projectile.AirGun"")"
AirGun_Lv2,"AirGun","2","25.000000","1.000000","0.050000","1.500000","0.600000","0.100000","2","0.000000","0.000000","6","1.000000","3","(TagName=""Weapon.Projectile.AirGun"")"
AirGun_Lv3,"AirGun","3","25.000000","1.000000","0.050000","1.500000","0.600000","0.100000","3","0.000000","0.000000","6","1.000000","3","(TagName=""Weapon.Projectile.AirGun"")"
Flamethrower_Lv1,"Flamethrower","1","15.000000","1.000000","0.050000","1.500000","1.000000","0.250000","0","20.000000","350.000000","200","2.500000","3","(TagName=""Weapon.Conical.Flamethrower"")"
Flamethrower_Lv2,"Flamethrower","2","15.000000","1.000000","0.050000","1.500000","1.000000","0.250000","0","30.000000","350.000000","200","2.500000","3","(TagName=""Weapon.Conical.Flamethrower"")"
Flamethrower_Lv3,"Flamethrower","3","15.000000","1.000000","0.050000","1.500000","1.000000","0.250000","0","40.000000","350.000000","200","2.500000","3","(TagName=""Weapon.Conical.Flamethrower"")"
